"Index Name","Date","Open","High","Low","Close"
"NIFTY MICROCAP 250","17 Oct 2024","26055.35","26066.45","25580.3","25611.60"
"NIFTY MICROCAP 250","16 Oct 2024","25820.6","26027.3","25740.55","25989.45"
"NIFTY MICROCAP 250","15 Oct 2024","25647.7","25815.1","25584.2","25793.45"
"NIFTY MICROCAP 250","14 Oct 2024","25655.25","25690.85","25462.6","25550.45"
"NIFTY MICROCAP 250","11 Oct 2024","25363.85","25540.2","25277.35","25519.20"
"NIFTY MICROCAP 250","10 Oct 2024","25335.75","25448.2","25310.2","25327.60"
"NIFTY MICROCAP 250","09 Oct 2024","25031.7","25356.6","25029.15","25198.30"
"NIFTY MICROCAP 250","08 Oct 2024","24113.95","24932.65","23980.65","24878.40"
"NIFTY MICROCAP 250","07 Oct 2024","25255.1","25328.1","24051.1","24185.45"
"NIFTY MICROCAP 250","04 Oct 2024","25399.85","25526.95","24863.7","25151.95"
"NIFTY MICROCAP 250","03 Oct 2024","25541.15","25779.65","25336.45","25396.20"
"NIFTY MICROCAP 250","01 Oct 2024","25778.05","25886.5","25743.9","25862.45"
"NIFTY MICROCAP 250","30 Sep 2024","25769.4","25805.65","25525.65","25715.20"
"NIFTY MICROCAP 250","27 Sep 2024","25837.55","25886.75","25734.95","25759.75"
"NIFTY MICROCAP 250","26 Sep 2024","25861.95","25876.15","25649.95","25698.40"
"NIFTY MICROCAP 250","25 Sep 2024","25934.8","25976.95","25746.9","25798.30"
"NIFTY MICROCAP 250","24 Sep 2024","25898.25","25945","25787.9","25843.45"
"NIFTY MICROCAP 250","23 Sep 2024","25731.8","25837.2","25668.4","25804.05"
"NIFTY MICROCAP 250","20 Sep 2024","25340.95","25669.45","25253.6","25591.70"
"NIFTY MICROCAP 250","19 Sep 2024","25665.7","25714.45","24866.1","25183.60"
"NIFTY MICROCAP 250","18 Sep 2024","25714.35","25747.9","25407.95","25510.20"
"NIFTY MICROCAP 250","17 Sep 2024","25635.6","25662.3","25416.45","25631.30"
"NIFTY MICROCAP 250","16 Sep 2024","25605.05","25629.5","25471.95","25537.40"
"NIFTY MICROCAP 250","13 Sep 2024","25241.3","25457.2","25222.4","25429.45"
"NIFTY MICROCAP 250","12 Sep 2024","25078.2","25140.95","24992.35","25127.00"
"NIFTY MICROCAP 250","11 Sep 2024","25314.25","25329.15","24927","24940.85"
"NIFTY MICROCAP 250","10 Sep 2024","24943.55","25242.8","24938.8","25209.85"
"NIFTY MICROCAP 250","09 Sep 2024","24961.5","24976.2","24489.8","24783.00"
"NIFTY MICROCAP 250","06 Sep 2024","25363.7","25468.75","24927.65","24957.35"
"NIFTY MICROCAP 250","05 Sep 2024","25237.35","25373.05","25206.6","25254.35"
"NIFTY MICROCAP 250","04 Sep 2024","24852.3","25219.45","24786.75","25097.85"
"NIFTY MICROCAP 250","03 Sep 2024","24961.3","25094.55","24960.6","25030.60"
"NIFTY MICROCAP 250","02 Sep 2024","25238.85","25264.2","24857.9","24906.25"
"NIFTY MICROCAP 250","30 Aug 2024","24954.1","25152.3","24802.65","25108.80"
